scene,size_before_mb,size_after_mb,size_reduction_pct,latency_seconds,peak_ram_mb,psnr_before,ssim_before,lpips_before,psnr_after,ssim_after,lpips_after
aloe,187.24697494506836,14.101359367370605,92.46911231996808,17.241044415999568,341.4375,17.616271654764812,0.8710947831471761,0.16082039723793665,22.01321856180827,0.904008686542511,0.1418185830116272
art,143.56122207641602,45.79977798461914,68.0973891680579,10.60823845899995,307.5,13.730308214823404,0.7596567869186401,0.2756154437859853,19.231930414835613,0.8004068533579508,0.23510523637135824
car,163.33568954467773,14.797648429870605,90.94034593962824,13.272656249999955,295.640625,18.11634572347005,0.8165536920229594,0.27639566361904144,19.124679565429688,0.8334014813105265,0.26555730899175006
century,70.8650016784668,38.55331039428711,45.59612011410986,7.663030209000226,186.0,14.842362403869629,0.619823674360911,0.3548218111197154,14.726334571838379,0.6180912057558695,0.36062633991241455
flowers,62.990596771240234,6.200228691101074,90.15689799920752,4.182972791999873,146.46875,17.145233154296875,0.7286649147669474,0.24211684862772623,18.19963264465332,0.7271480361620585,0.23813802500565848
garbage,99.18982315063477,30.05380630493164,69.70071590984654,7.319770291999703,230.421875,21.288406372070312,0.8622899254163107,0.19465254805982113,21.98314889272054,0.8693797787030538,0.19622454978525639
picnic,183.8423957824707,16.150492668151855,91.21503361647781,12.245333709000988,316.84375,17.912607828776043,0.8604517380396525,0.13239770630995432,19.466591517130535,0.8662076791127523,0.13172640899817148
pikachu,11.51794719696045,2.789736747741699,75.77921916087702,1.5427297909991466,57.671875,20.92059898376465,0.9170042077700297,0.13978208228945732,21.363136927286785,0.9176169037818909,0.13483948757251105
pipe,75.17683792114258,15.081461906433105,79.93868547350588,14.059408625000287,178.0625,15.570996284484863,0.7425239284833273,0.31442848841349286,18.5513121287028,0.783316413561503,0.3000490466753642
plant,16.727343559265137,6.0921430587768555,63.57973376231357,1.6987151670000458,71.921875,23.044666290283203,0.8984365264574686,0.105004387597243,24.597211837768555,0.9044533371925354,0.0894947995742162
roses,27.259662628173828,7.135867118835449,73.82261396199277,2.225428499999907,89.171875,15.757155736287435,0.81497190395991,0.16406797369321188,20.22800572713216,0.8490420381228129,0.11174442867437999
table,42.7523307800293,2.5063962936401367,94.1374043288163,2.990562625000166,112.046875,22.269356727600098,0.9592662453651428,0.08919877745211124,27.213568687438965,0.9842394888401031,0.03456873632967472
